Begin IJ Block
2   6   13   22   0.0000000000
2   6   13   23   0.0006045774
2   6   13   26   -0.0006663547
2   6   13   27   -0.0000000000
2   6   13   28   0.0006409884
2   6   13   30   -0.0000000000
2   6   14   16   0.0000000000
2   6   14   17   0.0006379960
2   6   14   18   -0.0000000000
2   6   14   19   0.0002835153
2   6   14   21   0.0000000000
2   6   14   22   -0.0014283765
2   6   14   23   0.0000000000
2   6   14   27   0.0002649629
2   6   14   29   0.0003279305
2   6   14   30   0.0007969576
2   6   15   17   0.0018065451
2   6   15   19   0.0011657744
2   6   15   22   -0.0042215807
2   6   15   26   0.0000000000
2   6   15   27   0.0006253161
2   6   15   28   -0.0000000000
2   6   15   29   0.0005502814
2   6   15   30   0.0031366802
2   7   1   16   0.0151511477
2   7   1   18   0.0028725671
2   7   1   19   0.0000000000
2   7   1   21   0.0203867680
2   7   1   23   0.0078154986
2   7   1   26   0.0145120042
2   7   1   27   -0.0000000000
2   7   1   28   0.0050846331
2   7   1   29   0.0000000000
2   7   2   17   0.0061491337
2   7   2   18   -0.0000000000
2   7   2   19   0.0029189482
2   7   2   22   -0.0118024204
2   7   2   23   -0.0000000000
2   7   2   26   0.0000000000
2   7   2   27   0.0017524920
2   7   2   28   -0.0000000000
2   7   2   29   0.0020667214
2   7   2   30   0.0046214286
2   7   3   16   0.0028725671
2   7   3   17   -0.0000000000
2   7   3   18   0.0077632842
2   7   3   21   0.0022915888
2   7   3   22   0.0000000000
2   7   3   23   -0.0001249653
2   7   3   26   0.0078145423
2   7   3   27   0.0000000000
2   7   3   28   -0.0017575587
2   7   3   29   -0.0000000000
2   7   3   30   -0.0000000000
2   7   4   16   0.0000000000
2   7   4   17   0.0029189482
2   7   4   19   0.0077190107
2   7   4   21   0.0000000000
2   7   4   22   -0.0083820632
2   7   4   23   -0.0000000000
2   7   4   26   0.0000000000
2   7   4   27   -0.0018613071
2   7   4   28   0.0000000000
2   7   4   29   -0.0038693982
2   7   4   30   0.0127390452
2   7   5   20   0.0151560448
2   7   5   25   0.0031921338
2   7   6   16   0.0203867680
2   7   6   18   0.0022915888
2   7   6   19   0.0000000000
2   7   6   21   0.0342812746
2   7   6   23   0.0089344198
2   7   6   26   0.0142621455
2   7   6   27   -0.0000000000
2   7   6   28   0.0056998744
2   7   6   29   0.0000000000
2   7   6   30   0.0000000000
2   7   7   17   -0.0118024204
2   7   7   18   0.0000000000
2   7   7   19   -0.0083820632
2   7   7   22   0.0254510764
2   7   7   23   0.0000000000
2   7   7   27   -0.0027111086
2   7   7   28   0.0000000000
2   7   7   29   -0.0019334555
2   7   7   30   -0.0154620573
2   7   8   16   0.0078154986
2   7   8   17   -0.0000000000
